iter	Logloss
0	0.6195372098
1	0.5566558055
2	0.5030310739
3	0.4560784727
4	0.4154045528
5	0.3792932135
6	0.3481317915
7	0.3196531861
8	0.2948678982
9	0.2720841422
10	0.2514371036
11	0.2327338968
12	0.2160635706
13	0.2009953099
14	0.1875415341
15	0.1755121628
16	0.1644111058
17	0.1540777089
18	0.1451357464
19	0.1365746145
20	0.1293052284
21	0.1220114789
22	0.1156508266
23	0.1096541965
24	0.1044445581
25	0.09942987967
26	0.09499791351
27	0.09077317636
28	0.08707187713
29	0.0834690512
30	0.08070262277
31	0.0775505504
32	0.07534431009
33	0.0736525196
34	0.0712460105
35	0.06906376935
36	0.06712059918
37	0.06544478436
38	0.06381938982
39	0.06226242015
40	0.06084256404
41	0.05959384357
42	0.05833465836
43	0.05707781252
44	0.05610547464
45	0.05519756864
46	0.05420814277
47	0.05332490644
48	0.05254968885
49	0.05221184458
50	0.05150224709
51	0.0508309424
52	0.05021414883
53	0.04956799826
54	0.04904768765
55	0.04854451463
56	0.04810370785
57	0.04770439143
58	0.04728445972
59	0.04704654127
60	0.04676473195
61	0.04647405894
62	0.0462239637
63	0.04609993657
64	0.04577270396
65	0.04565613385
66	0.04544616384
67	0.04524052514
68	0.04518115163
69	0.04499580356
70	0.04489006977
71	0.04470514985
72	0.04455412253
73	0.04440479277
74	0.04430128737
75	0.04417914521
76	0.04412125881
77	0.0439726714
78	0.04382063069
79	0.04371301087
80	0.04362097208
81	0.04354861884
82	0.04348349258
83	0.04344208667
84	0.04339512747
85	0.04323425845
86	0.04317591388
87	0.04301260226
88	0.04298997627
89	0.04298085816
90	0.04292990304
91	0.04286762178
92	0.04279445005
93	0.04276709678
94	0.04272438632
95	0.04271575265
96	0.04265122638
97	0.04261593702
98	0.04248781128
99	0.0424332865
100	0.04242656085
101	0.04236779162
102	0.04233089047
103	0.04231615849
104	0.0422840168
105	0.04223003223
106	0.04219355547
107	0.04217576857
108	0.04213683313
109	0.04213139004
110	0.04202615651
111	0.04201714992
112	0.0419581882
113	0.04192629289
114	0.04190593604
115	0.04189240726
116	0.04187266273
117	0.04185203082
118	0.04182216498
119	0.04180457646
120	0.04178207835
121	0.04177038118
122	0.04176419841
123	0.04168345251
124	0.04166078497
125	0.04165036473
126	0.04157812113
127	0.04155709566
128	0.0415441347
129	0.04153848329
130	0.04147494951
131	0.04146671449
132	0.0414471126
133	0.04139192911
134	0.04136437181
135	0.04134795674
136	0.04133862066
137	0.04133166392
138	0.04132504899
139	0.041309628
140	0.04130780336
141	0.04128811058
142	0.04126986094
143	0.04126804059
144	0.04126003265
145	0.04125171559
146	0.04124580173
147	0.04122878237
148	0.04122066022
149	0.04120647327
150	0.04119189409
151	0.04118595181
152	0.0411807197
153	0.04117203831
154	0.04115566426
155	0.04115174178
156	0.04114555902
157	0.04114000815
158	0.04110200461
159	0.04109041682
160	0.04108434129
161	0.04108261048
162	0.04108074911
163	0.04107259318
164	0.04106009415
165	0.04103889709
166	0.04102674121
167	0.04102288603
168	0.04100193053
169	0.04099462848
170	0.04098910818
171	0.04098547927
172	0.04097451989
173	0.04096324175
174	0.04095965251
175	0.04093139014
176	0.04090613603
177	0.04090316904
178	0.04089736429
179	0.04087511899
180	0.04087339596
181	0.04086872739
182	0.04086426819
183	0.0408575034
184	0.04085463829
185	0.04084993701
186	0.04084318991
